title,doi
"Single-cell RNA sequencing profiles reveal cell type-specific transcriptional re","10.1111/pbi.14097"
"ScRNA-seq reveals dark- and light-induced differentially expressed gene atlases","10.1111/pbi.14306"
"OsHDA710-Mediated Histone Deacetylation Regulates Callus Formation of Rice Matur","10.1093/pcp/pcaa086"
"Joint genetic and network analyses identify loci associated with root growth und","10.1111/pce.12691"
"Jasmonic acid coordinates with light, glucose and auxin signalling in regulating","10.1111/pce.14290"
"Revisiting the role of MAPK signalling pathway in plants and its manipulation fo","10.1111/pce.14606"
"Members of the NPF3 transporter subfamily encode pathogen-inducible nitrate/nitr","10.1093/pcp/pct167"
"A unique HEAT repeat-containing protein SHOOT GRAVITROPISM6 is involved in vacuo","10.1093/pcp/pcu020"
"Calpain-Mediated Positional Information Directs Cell Wall Orientation to Sustain","10.1093/pcp/pcv110"
"A Conceptual Framework for Cell Identity Transitions in Plants.","10.1093/pcp/pcx172"
"RhizoVision Explorer: open-source software for root image analysis and measureme","10.1093/aobpla/plab056"
"Plant Growth Regulators: An Overview of WOX Gene Family.","10.3390/plants13213108"
"Transcriptional and posttranscriptional regulation of transcription factor expre","10.1073/pnas.0510607103"
"Identification of acyltransferases required for cutin biosynthesis and productio","10.1073/pnas.0706984104"
"Cell-specific nitrogen responses mediate developmental plasticity.","10.1073/pnas.0709559105"
"Gene expression map of the Arabidopsis shoot apical meristem stem cell niche.","10.1073/pnas.0900843106"
"Genome-wide landscape of polyadenylation in Arabidopsis provides evidence for ex","10.1073/pnas.1019732108"
"Arabidopsis lateral organ boundaries negatively regulates brassinosteroid accumu","10.1073/pnas.1210789109"
"The MYB36 transcription factor orchestrates Casparian strip formation.","10.1073/pnas.1507691112"
"MYB36 regulates the transition from proliferation to differentiation in the Arab","10.1073/pnas.1515576112"
"Framework for gradual progression of cell ontogeny in the &lt;i&gt;Arabidopsis&l","10.1073/pnas.1707400114"
"The <i>Arabidopsis</i> GRAS-type SCL28 transcription factor controls the mitotic","10.1073/pnas.2005256118"
"Root angle is controlled by &lt;i&gt;EGT1&lt;/i&gt; in cereal crops employing an","10.1073/pnas.2201350119"
"Spatial transcriptomics reveals light-induced chlorenchyma cells involved in pro","10.1073/pnas.2310163120"
"Genetic evidence for the in planta role of phloem-specific plasma membrane sucro","10.1073/pnas.250473797"
"FIDDLEHEAD, a gene required to suppress epidermal cell interactions in Arabidops","10.1073/pnas.97.3.1311"
"AtREM1, a member of a new family of B3 domain-containing genes, is preferentiall","10.1104/pp.010323"
"Arabidopsis thickvein mutation affects vein thickness and organ vascularization,","10.1104/pp.104.055756"
"Compilation of mRNA polyadenylation signals in Arabidopsis revealed a new signal","10.1104/pp.105.060541"
"Protein geranylgeranyltransferase I is involved in specific aspects of abscisic","10.1104/pp.105.065045"
"The Arabidopsis zinc finger-homeodomain genes encode proteins with unique bioche","10.1104/pp.105.070565"
"AINTEGUMENTA contributes to organ polarity and regulates growth of lateral organ","10.1104/pp.106.076604"
"Combining expression and comparative evolutionary analysis. The COBRA gene famil","10.1104/pp.106.087262"
"The Arabidopsis histone deacetylases HDA6 and HDA19 contribute to the repression","10.1104/pp.107.111674"
"Root Architecture and Plant Productivity.","10.1104/pp.109.1.7"
"Arabidopsis LON2 is necessary for peroxisomal function and sustained matrix prot","10.1104/pp.109.142505"
"Short-Root regulates primary, lateral, and adventitious root development in Arab","10.1104/pp.110.165126"
"Genome-wide direct target analysis reveals a role for SHORT-ROOT in root vascula","10.1104/pp.111.183178"
"RooTrak: automated recovery of three-dimensional plant root architecture in soil","10.1104/pp.111.186221"
"Auxin and epigenetic regulation of SKP2B, an F-box that represses lateral root f","10.1104/pp.112.198341"
"Identification of an Arabidopsis fatty alcohol:caffeoyl-Coenzyme A acyltransfera","10.1104/pp.112.201822"
"The optimal lateral root branching density for maize depends on nitrogen and pho","10.1104/pp.113.233916"
"The Emerging Role of Reactive Oxygen Species Signaling during Lateral Root Devel","10.1104/pp.114.238873"
"An enhancer trap line associated with a D-class cyclin gene in Arabidopsis.","10.1104/pp.124.4.1658"
"Seed Dormancy in Arabidopsis Is Controlled by Alternative Polyadenylation of DOG","10.1104/pp.15.01483"
"The Distinct Roles of Class I and II RPD3-Like Histone Deacetylases in Salinity","10.1104/pp.17.01332"
"A Comprehensive Toolkit for Inducible, Cell Type-Specific Gene Expression in Ara","10.1104/pp.18.00463"
"PlantAPAdb: A Comprehensive Database for Alternative Polyadenylation Sites in Pl","10.1104/pp.19.00943"
"Shaping the root system architecture in plants for adaptation to drought stress.","10.1111/ppl.13651"
"Role of histone deacetylases HDA6 and HDA19 in ABA and abiotic stress response.","10.4161/psb.5.10.13168"
"The art of fin regeneration in zebrafish.","10.1002/reg2.33"
"Evaluating the effective numbers of independent tests and significant p-value th","10.1007/s00439-011-1118-2"
"Molecular characterization and functional analysis of a cation-chloride cotransp","10.1007/s00468-017-1621-8"
"A novel drought-inducible gene, ATAF1, encodes a NAC family protein that negativ","10.1007/s11103-006-9089-8"
"Root phenotypes for improved nitrogen capture.","10.1007/s11104-023-06301-2"
"Genome-wide analysis and expression profiling of zinc finger homeodomain (ZHD) f","10.1186/s12864-017-4082-y"
"A multi-omics approach reveals function of Secretory Carrier-Associated Membrane","10.1186/s12864-017-4411-1"
"The members of zinc finger-homeodomain (ZF-HD) transcription factors are associa","10.1186/s12870-024-06028-x"
"Chromatin accessibility illuminates single-cell regulatory dynamics of rice root","10.1186/s12915-022-01473-2"
"RhizoTubes as a new tool for high throughput imaging of plant root development a","10.1186/s13007-016-0131-9"
"Week-long imaging of cell divisions in the Arabidopsis root meristem.","10.1186/s13007-019-0417-9"
"The potential of single-cell profiling in plants.","10.1186/s13059-016-0931-2"
"MAPK-triggered chromatin reprogramming by histone deacetylase in plant innate im","10.1186/s13059-017-1261-8"
"A benchmark of batch-effect correction methods for single-cell RNA sequencing da","10.1186/s13059-019-1850-9"
"Sierra: discovery of differential transcript usage from polyA-captured single-ce","10.1186/s13059-020-02071-7"
"Transcriptional landscape of highly lignified poplar stems at single-cell resolu","10.1186/s13059-021-02537-2"
"Single-cell transcriptome reveals dominant subgenome expression and transcriptio","10.1186/s13059-022-02834-4"
"Single-cell transcriptomics unveils xylem cell development and evolution.","10.1186/s13059-022-02845-1"
"Asymmetric gene expression and cell-type-specific regulatory networks in the roo","10.1186/s13059-023-02908-x"
"Protein degradation in signaling","10.1016/s1369-5266(00)00100-x"
"The implications of single-cell RNA-seq analysis in prostate cancer: unraveling","10.1186/s40779-024-00526-7"
"Characterizing the replicability of cell types defined by single cell RNA-sequen","10.1038/s41467-018-03282-0"
"A gene expression map of shoot domains reveals regulatory mechanisms.","10.1038/s41467-018-08083-z"
"Stem-cell-ubiquitous genes spatiotemporally coordinate division through regulati","10.1038/s41467-019-13132-2"
"Single-cell transcriptome atlas and chromatin accessibility landscape reveal dif","10.1038/s41467-021-22352-4"
"The regulatory landscape of Arabidopsis thaliana roots at single-cell resolution","10.1038/s41467-021-23675-y"
"Single-cell analysis of human primary prostate cancer reveals the heterogeneity","10.1038/s41467-021-27322-4"
"Online single-cell data integration through projecting heterogeneous datasets in","10.1038/s41467-022-33758-z"
"Arabidopsis TRB proteins function in H3K4me3 demethylation by recruiting JMJ14.","10.1038/s41467-023-37263-9"
"Single-cell analysis identifies genes facilitating rhizobium infection in Lotus","10.1038/s41467-023-42911-1"
"Decoding the gene regulatory network of endosperm differentiation in maize.","10.1038/s41467-023-44369-7"
"Single-cell and spatial RNA sequencing reveal the spatiotemporal trajectories of","10.1038/s41467-024-47329-x"
"Single-cell transcriptomes reveal spatiotemporal heat stress response in maize r","10.1038/s41467-024-55485-3"
"Minimum requirements for changing and maintaining endodermis cell identity in th","10.1038/s41477-018-0213-y"
"Jasmonate-mediated wound signalling promotes plant regeneration.","10.1038/s41477-019-0408-x"
"Single-cell RNA sequencing provides a high-resolution roadmap for understanding","10.1038/s41477-022-01291-y"
"Multiplexed single-cell 3D spatial gene expression analysis in plant tissue usin","10.1038/s41477-023-01439-4"
"Single-nucleus transcriptomes reveal spatiotemporal symbiotic perception and ear","10.1038/s41477-023-01524-8"
"Spatial co-transcriptomics reveals discrete stages of the arbuscular mycorrhizal","10.1038/s41477-024-01666-3"
"The apoplastic pH is a key determinant in the hypocotyl growth response to auxin","10.1038/s41477-025-01910-4"
"Integrative single-cell analysis.","10.1038/s41576-019-0093-7"
"Alternative cleavage and polyadenylation in health and disease.","10.1038/s41576-019-0145-z"
"Best practices for single-cell analysis across modalities.","10.1038/s41576-023-00586-w"
"High levels of auxin signalling define the stem-cell organizer of the vascular c","10.1038/s41586-018-0837-0"
"Mobile PEAR transcription factors integrate positional cues to prime cambial gro","10.1038/s41586-018-0839-y"
"Transcriptome-scale super-resolved imaging in tissues by RNA seqFISH.","10.1038/s41586-019-1049-y"
"Gene expression cartography.","10.1038/s41586-019-1773-3"
"Graph-based genome alignment and genotyping with HISAT2 and HISAT-genotype.","10.1038/s41587-019-0201-4"
"Generalizing RNA velocity to transient cell states through dynamical modeling.","10.1038/s41587-020-0591-3"
"Robust decomposition of cell type mixtures in spatial transcriptomics.","10.1038/s41587-021-00830-w"
"Spatial metatranscriptomics resolves host-bacteria-fungi interactomes.","10.1038/s41587-023-01979-2"
"Single-cell multi-omics in the medicinal plant Catharanthus roseus.","10.1038/s41589-023-01327-0"
"High-definition spatial transcriptomics for in situ tissue profiling.","10.1038/s41592-019-0548-y"
"Orchestrating single-cell analysis with Bioconductor.","10.1038/s41592-019-0654-x"
"Museum of spatial transcriptomics.","10.1038/s41592-022-01409-2"
"FX-Cell: a method for single-cell RNA sequencing on difficult-to-digest and cryo","10.1038/s41592-025-02900-2"
"Semi-automated Root Image Analysis (saRIA).","10.1038/s41598-019-55876-3"
"Iterative image segmentation of plant roots for high-throughput phenotyping.","10.1038/s41598-022-19754-9"
"Histone acetylation orchestrates wound-induced transcriptional activation and ce","10.1038/s42003-019-0646-5"
"Leaf senescence: progression, regulation, and application.","10.1186/s43897-021-00006-9"
"Plant development: regulation by protein degradation.","10.1126/science.1072831"
"Genome-wide insertional mutagenesis of Arabidopsis thaliana.","10.1126/science.1086391"
"An ancient mechanism controls the development of cells with a rooting function i","10.1126/science.1142618"
"A high-resolution root spatiotemporal map reveals dominant expression patterns.","10.1126/science.1146265"
"Cell identity mediates the response of Arabidopsis roots to abiotic stress.","10.1126/science.1153795"
"Receptor-like kinase ACR4 restricts formative cell divisions in the Arabidopsis","10.1126/science.1160158"
"Secreted peptide signals required for maintenance of root stem cell niche in Ara","10.1126/science.1191132"
"Sucrose efflux mediated by SWEET proteins as a key step for phloem transport.","10.1126/science.1213351"
"Timing mechanism dependent on cell division is invoked by Polycomb eviction in p","10.1126/science.1248559"
"RNA imaging. Spatially resolved, highly multiplexed RNA profiling in single cell","10.1126/science.aaa6090"
"Visualization and analysis of gene expression in tissue sections by spatial tran","10.1126/science.aaf2403"
"Single-cell reconstruction of developmental trajectories during zebrafish embryo","10.1126/science.aar3131"
"The dynamics of gene expression in vertebrate embryogenesis at single-cell resol","10.1126/science.aar5780"
"Three-dimensional intact-tissue sequencing of single-cell transcriptional states","10.1126/science.aat5691"
"Defining the developmental program leading to meiosis in maize.","10.1126/science.aav6428"
"Single-cell transcriptional diversity is a hallmark of developmental potential.","10.1126/science.aax0249"
"Vascular transcription factors guide plant epidermal responses to limiting phosp","10.1126/science.aay4970"
"Histone acetyltransferase AtGCN5/HAG1 is a versatile regulator of developmental","10.1093/mp/ssq018"
"The Arabidopsis cell division cycle.","10.1199/tab.0120"
"Arabidopsis E2Fc functions in cell division and is degraded by the ubiquitin-SCF","10.1105/tpc.006791"
"Cell pattern in the Arabidopsis root epidermis determined by lateral inhibition","10.1105/tpc.010434"
"HISTONE DEACETYLASE19 is involved in jasmonic acid and ethylene signaling of pat","10.1105/tpc.104.028514"
"Transcriptional profile of the Arabidopsis root quiescent center.","10.1105/tpc.105.031724"
"SIAMESE, a plant-specific cell cycle regulator, controls endoreplication onset i","10.1105/tpc.106.044834"
"High-resolution whole-mount imaging of three-dimensional tissue organization and","10.1105/tpc.107.056069"
"SUMO E3 ligase HIGH PLOIDY2 regulates endocycle onset and meristem maintenance i","10.1105/tpc.109.068072"
"How a plant builds leaves.","10.1105/tpc.110.073924"
"TDIF peptide signaling regulates vascular stem cell proliferation via the WOX4 h","10.1105/tpc.110.076083"
"Genome-wide control of polyadenylation site choice by CPSF30 in Arabidopsis.","10.1105/tpc.112.096107"
"The root hair "infectome" of Medicago truncatula uncovers changes in cell cycle","10.1105/tpc.114.133496"
"Cell differentiation and development in Arabidopsis are associated with changes","10.1105/tpc.114.133793"
"The Arabidopsis LAZY1 Family Plays a Key Role in Gravity Signaling within Statoc","10.1105/tpc.16.00575"
"A Two-Step Model for de Novo Activation of <i>WUSCHEL</i> during Plant Shoot Reg","10.1105/tpc.16.00863"
"A Spatiotemporal DNA Endoploidy Map of the Arabidopsis Root Reveals Roles for th","10.1105/tpc.17.00983"
"Celebrating 20 Years of Genetic Discoveries in Legume Nodulation and Symbiotic N","10.1105/tpc.19.00279"
"AtLAZY1 is a signaling component required for gravitropism of the Arabidopsis th","10.1111/tpj.12118"
"A chemical complementation approach reveals genes and interactions of flavonoids","10.1111/tpj.12129"
"The iRoCS Toolbox--3D analysis of the plant root apical meristem at cellular res","10.1111/tpj.12429"
"Extracting multiple interacting root systems using X-ray microcomputed tomograph","10.1111/tpj.13047"
"DRO1 influences root system architecture in Arabidopsis and Prunus species.","10.1111/tpj.13470"
"Role of cleavage and polyadenylation specificity factor 100: anchoring poly(A) s","10.1111/tpj.13611"
"Differential alternative polyadenylation contributes to the developmental diverg","10.1111/tpj.14209"
"SUPPRESSOR OF MAX2 1-LIKE 5 promotes secondary phloem formation during radial st","10.1111/tpj.14670"
"Time-series transcriptomics reveals a drought-responsive temporal network and cr","10.1111/tpj.15725"
"Spatial transcriptomics drives a new era in plant research.","10.1111/tpj.16437"
"Faculty Opinions recommendation of Cistrome and epicistrome features shape the r","10.3410/f.726368176.793518729"
"Faculty Opinions recommendation of Cis and trans determinants of epigenetic sile","10.3410/f.729069926.793540548"
"Faculty Opinions recommendation of The heterodimeric transcription factor comple","10.3410/f.726907401.793526573"
"Arabidopsis mesophyll protoplasts: a versatile cell system for transient gene ex","10.1038/nprot.2007.199"
"Faculty Opinions recommendation of Construction of a human cell landscape at sin","10.3410/f.737616688.793575841"
"PIN-mediated polar auxin transport regulations in plant tropic responses.","10.1111/nph.17617"
"Single-cell transcriptome atlas of the leaf and root of rice seedlings.","10.1016/j.jgg.2021.06.001"
"Cross-stage single-cell and spatial metabolome analyses reveal periderm speciali","10.1111/nph.71285"
"Single-cell insights into plant growth, adaptation, and evolution.","10.1111/jipb.70272"
"created: 2026-05-28","10.1016/j.tplants.2026.03.003内容："
"Spatiotemporal Metabolome and Single-Nucleus Transcriptome Integration Illuminat","10.1111/pbi.70672"
"Single-nucleus RNA sequencing reveals transcriptional response of wheat roots an","10.1016/j.cj.2026.03.017"
"单细胞转录组解码被子植物木质部发育","10.1111/pce.70169"
